branch,block_length,probability,unsigned_weight,negative_mass,physical_rate,support_rate,sign_cost,surviving_fraction,minimum_wigner,maximum_wigner,time,n_sites,block_start,cumulative_discarded_weight,maximum_bond,identity_A_minus_P_minus_2nu,identity_r_minus_s_minus_q
competing,4,0.0077109372066158635,0.13736488832164812,0.06482697555751614,1.216278885379016,0.4962786188403154,0.7200002665387006,0.05613470298581863,-0.001326427302528867,0.0017547790803499781,0.36000000000000004,50,23,2.9369442326076685e-16,14,-2.7755575615628914e-17,0.0
initial,5,0.10510132871273206,0.10510132871273206,0.0,0.4505660717625045,0.4505660717625045,0.0,1.0,0.00011569877734160462,0.004016784445338217,0.36000000000000004,50,22,2.9369442326076685e-16,14,0.0,0.0
branch1,5,0.0009873319179534417,0.03593596306094474,0.017474315571495647,1.3841008570687414,0.6652033456677802,0.7188975114009614,0.027474758816926646,-0.00028597136170010286,0.0003963559973883128,0.36000000000000004,50,22,2.9369442326076685e-16,14,0.0,-1.1102230246251565e-16
branch2,5,0.0009873319179534452,0.03593596306094475,0.017474315571495654,1.3841008570687408,0.66520334566778,0.7188975114009607,0.027474758816926733,-0.0002859713617001042,0.00039635599738831374,0.36000000000000004,50,22,2.9369442326076685e-16,14,0.0,0.0
competing,5,0.001974663835906887,0.07187192612188949,0.0349486311429913,1.245471420956752,0.526573909555791,0.718897511400961,0.02747475881692669,-0.0002859713617001042,0.00039635599738831374,0.36000000000000004,50,22,2.9369442326076685e-16,14,0.0,-1.1102230246251565e-16
initial,6,0.06824016160546056,0.06824016160546056,0.0,0.4474536679348256,0.4474536679348256,0.0,1.0,1.99588645582255e-05,0.0013389281484454604,0.36000000000000004,50,22,2.9369442326076685e-16,14,0.0,0.0
branch1,6,0.0002531010979808444,0.01880593539906024,0.009276417150539697,1.3802869253820076,0.6622637910428393,0.7180231343391684,0.013458575317316694,-6.458318926814071e-05,8.945275691574217e-05,0.36000000000000004,50,22,2.9369442326076685e-16,14,0.0,-1.1102230246251565e-16
branch2,6,0.00025310109798084234,0.018805935399060246,0.0092764171505397,1.3802869253820091,0.6622637910428393,0.71802313433917,0.01345857531731658,-6.458318926814089e-05,8.945275691574251e-05,0.36000000000000004,50,22,2.9369442326076685e-16,14,3.469446951953614e-18,-1.1102230246251565e-16
competing,6,0.0005062021959616867,0.037611870798120485,0.018552834301079398,1.2647623952886844,0.5467392609495151,0.7180231343391692,0.013458575317316637,-6.458318926814089e-05,8.945275691574251e-05,0.36000000000000004,50,22,2.9369442326076685e-16,14,0.0,1.1102230246251565e-16
initial,7,0.04430694085997798,0.04430694085997798,0.0,0.4452305622355775,0.4452305622355775,0.0,1.0,3.448617823683509e-06,0.00044630938281515396,0.36000000000000004,50,21,2.9369442326076685e-16,14,0.0,0.0
branch1,7,6.487849486128605e-05,0.009841562012312878,0.004888341758725797,1.3775706210335712,0.6601629770610431,0.7174076439725281,0.006592296505383587,-1.4574339843366876e-05,2.0185582503088666e-05,0.36000000000000004,50,21,2.9369442326076685e-16,14,-1.734723475976807e-18,0.0
branch2,7,6.487849486128605e-05,0.009841562012312883,0.004888341758725798,1.3775706210335712,0.660162977061043,0.7174076439725282,0.006592296505383583,-1.4574339843366938e-05,2.0185582503088795e-05,0.36000000000000004,50,21,2.9369442326076685e-16,14,0.0,0.0
competing,7,0.0001297569897225721,0.019683124024625763,0.009776683517451595,1.2785495952392931,0.5611419512667651,0.7174076439725282,0.006592296505383585,-1.4574339843366938e-05,2.0185582503088795e-05,0.36000000000000004,50,21,2.9369442326076685e-16,14,0.0,-2.220446049250313e-16
initial,8,0.02876760012819698,0.02876760012819698,0.0,0.4435631900839312,0.4435631900839312,0.0,1.0,5.958079404177982e-07,0.00014876979427170376,0.36000000000000004,50,21,2.9369442326076685e-16,14,0.0,0.0
branch1,8,1.6629712492953125e-05,0.005150282478895107,0.002566826383201077,1.375539944170788,0.6585879644424774,0.7169519797283106,0.00322889328131002,-3.2887299081186676e-06,4.555028139439946e-06,0.36000000000000004,50,21,2.9369442326076685e-16,14,-8.673617379884035e-19,1.1102230246251565e-16
branch2,8,1.662971249295304e-05,0.005150282478895108,0.002566826383201078,1.3755399441707885,0.6585879644424774,0.7169519797283113,0.0032288932813100027,-3.2887299081186782e-06,4.555028139439962e-06,0.36000000000000004,50,21,2.9369442326076685e-16,14,-8.673617379884035e-19,-1.1102230246251565e-16
competing,8,3.325942498590617e-05,0.010300564957790215,0.005133652766402155,1.2888965466007951,0.5719445668724842,0.7169519797283109,0.003228893281310012,-3.2887299081186782e-06,4.555028139439962e-06,0.36000000000000004,50,21,2.9369442326076685e-16,14,-1.734723475976807e-18,0.0
initial,9,0.01867821950790025,0.01867821950790025,0.0,0.442266351794127,0.442266351794127,0.0,1.0,1.0291736922705274e-07,4.958993142390643e-05,0.36000000000000004,50,20,2.9369442326076685e-16,14,0.0,0.0
branch1,9,4.262534854050149e-06,0.0026952424308848044,0.0013454899480153772,1.373960726498312,0.6573630136517273,0.7165977128465849,0.0015815033205197901,-7.421262154733423e-07,1.0278857875101209e-06,0.36000000000000004,50,20,2.9369442326076685e-16,14,0.0,-2.220446049250313e-16
branch2,9,4.262534854050218e-06,0.002695242430884803,0.0013454899480153763,1.3739607264983102,0.6573630136517273,0.716597712846583,0.0015815033205198164,-7.421262154733468e-07,1.027885787510125e-06,0.36000000000000004,50,20,2.9369442326076685e-16,14,4.336808689942018e-19,-1.1102230246251565e-16
competing,9,8.525069708100366e-06,0.005390484861769608,0.0026909798960307535,1.296944373102762,0.5803466602561778,0.7165977128465839,0.001581503320519803,-7.421262154733468e-07,1.027885787510125e-06,0.36000000000000004,50,20,2.9369442326076685e-16,14,8.673617379884035e-19,2.220446049250313e-16
initial,4,0.14261249202397144,0.14261249202397144,0.0,0.48690604324690684,0.48690604324690684,0.0,1.0,0.000578330368349336,0.011964035047279723,0.38,50,23,2.994087462001276e-16,15,0.0,0.0
