time,n_sites,dt,max_bond,cutoff,prob_initial,prob_branch1,prob_branch2,prob_competing_group,return_echo,rate_initial,rate_branch1,rate_branch2,rate_competing_group,rate_total,rate_lower_envelope,delta_rate_individual,delta_rate_grouped,branch_symmetry_relative_error,local_ordered_moment,mps_norm,cumulative_discarded_weight,realized_maximum_bond
0.36,20,0.02,48,1e-10,0.0001256841609465,1.4048616005424597e-12,1.4048616005424597e-12,2.809723201084919e-12,0.0001256841637563,0.449086922854844,1.3645541161473378,1.3645541161473378,1.3298967571193407,0.4490869217370726,0.449086922854844,-0.9154671932924938,-0.8808098342644968,0.0,0.3923438525952581,1.0000000000000004,1.1383868762071936e-18,16
0.38,20,0.02,48,1e-10,7.061059505180307e-05,8.617663286983829e-12,8.617663286983767e-12,1.7235326573967596e-11,7.061061228712964e-05,0.4779165176584701,1.2738603574199092,1.2738603574199097,1.2392029983919124,0.4779165054539812,0.4779165176584701,-0.7959438397614393,-0.7612864807334423,7.124009031618532e-15,0.3471327075260418,1.0000000000000004,1.2871042264118813e-18,17
0.4,20,0.02,48,1e-10,4.195138561603087e-05,4.6034062730039126e-11,4.603406273003847e-11,9.206812546007759e-11,4.195147768415633e-05,0.5039499547708511,1.1900819749669338,1.1900819749669345,1.155424615938937,0.5039498450390473,0.5039499547708511,-0.6861320201960829,-0.6514746611680858,1.431895234825906e-14,0.3032281906336623,0.999999999999998,1.4705725229373116e-18,18
0.42,20,0.02,48,1e-10,2.6348182069586725e-05,2.1631022308699702e-10,2.1631022308701468e-10,4.3262044617401167e-10,2.63486146900329e-05,0.5272055638511738,1.1127153760311823,1.1127153760311783,1.078058017003183,0.527204742889611,0.5272055638511738,-0.5855098121800065,-0.5508524531520093,8.161951824198946e-14,0.2608773763383928,0.9999999999999944,1.665818715734326e-18,20
0.44,20,0.02,48,1e-10,1.7425225670664573e-05,9.018393376489288e-10,9.018393376490471e-10,1.803678675297976e-09,1.742702934933987e-05,0.5478795825215421,1.0413292364818325,1.0413292364818258,1.0066718774538317,0.5478744073078411,0.5478795825215421,-0.4934496539602868,-0.4587922949322895,1.3139105581391377e-13,0.2202986384900179,1.0000000000000022,1.879412490769148e-18,22
0.46,20,0.02,48,1e-10,1.2054995352319446e-05,3.3610587809289022e-09,3.361058780929344e-09,6.722117561858246e-09,1.2061717469881304e-05,0.5663015715935436,0.9755504899618695,0.975550489961863,0.9408931309338692,0.566273698318336,0.5663015715935436,-0.4092489183683228,-0.3745915593403255,1.314212204825559e-13,0.1816827433767963,1.000000000000002,2.1803049606274543e-18,24
0.48,20,0.02,48,1e-10,8.652278521073034e-06,1.1270673977130737e-08,1.1270673977131976e-08,2.254134795426271e-08,8.674819869027297e-06,0.5828843929433372,0.9150530853960288,0.9150530853960231,0.8803957263680287,0.5827542998362095,0.5828843929433372,-0.3321686924526887,-0.2975113334246915,1.1008844026072577e-13,0.1451937817448094,1.0000000000000004,2.3594505773412762e-18,27
0.5,20,0.02,48,1e-10,6.38495979104051e-06,3.4202202810538006e-08,3.4202202810540553e-08,6.840440562107858e-08,6.453364196661589e-06,0.5980782682954537,0.8595487892643605,0.8595487892643568,0.8248914302363615,0.5975454491127427,0.5980782682954537,-0.261470520968905,-0.2268131619409077,7.448983039999563e-14,0.1109698639263926,0.9999999999999954,2.5353517005062282e-18,27
0.52,20,0.02,48,1e-10,4.801025857341148e-06,9.441272468140332e-08,9.441272468140701e-08,1.8882544936281038e-07,4.989851306703959e-06,0.6123340471302974,0.8087794988762592,0.8087794988762573,0.774122139848261,0.6104052223450271,0.6123340471302974,-0.1964454517459608,-0.1617880927179635,3.9110557045113754e-14,0.07912356951956,1.0000000000000049,2.8468677676020465e-18,29
0.54,20,0.02,48,1e-10,3.647246049352814e-06,2.3818614390911358e-07,2.38186143909122e-07,4.763722878182356e-07,4.1236183371710495e-06,0.6260769091090091,0.762510667585204,0.7625106675852023,0.7278533085572059,0.6199389771425012,0.6260769091090091,-0.136433758476194,-0.1017763994481967,3.556180612997765e-14,0.0497422027268069,1.000000000000003,3.0689858339691597e-18,31
