time,n_sites,dt,max_bond,cutoff,prob_initial,prob_branch1,prob_branch2,prob_competing_group,return_echo,rate_initial,rate_branch1,rate_branch2,rate_competing_group,rate_total,rate_lower_envelope,delta_rate_individual,delta_rate_grouped,branch_symmetry_relative_error,local_ordered_moment,mps_norm,cumulative_discarded_weight,realized_maximum_bond
0.0,100,0.04,32,1e-09,1.0,0.0,0.0,0.0,1.0,-0.0,inf,inf,7.083964185322641,-0.0,-0.0,-inf,-7.083964185322641,0.0,1.0,1.0,0.0,1
0.04,100,0.04,32,1e-09,0.4901910286496236,3.2548926086356533e-245,3.2548926086356533e-245,6.5097852172713066e-245,0.4901910286496236,0.007129601094639543,5.629531885011636,5.629531885011636,5.622600413206037,0.007129601094639543,0.007129601094639543,-5.622402283916996,-5.615470812111397,0.0,0.9893446397340145,1.0000000000000133,6.511988592695018e-42,3
0.08,100,0.04,32,1e-09,0.05853269842988862,3.0223528628529305e-185,3.022352862852415e-185,6.044705725705346e-185,0.05853269842988862,0.028381697333778426,4.248722065821877,4.2487220658218785,4.241790594016279,0.028381697333778426,0.028381697333778426,-4.220340368488099,-4.2134088966825,1.7052368901564636e-13,0.9580132266574056,0.9999999999999868,5.700496876483369e-20,5
0.12,100,0.04,32,1e-09,0.001783909356946783,2.4916163344707424e-150,2.4916163344707424e-150,4.983232668941485e-150,0.001783909356946783,0.06328948055001467,3.4447483231891467,3.4447483231891467,3.437816851383547,0.06328948055001467,0.06328948055001467,-3.381458842639132,-3.3745273708335324,0.0,0.907830512242051,1.0000000000000118,5.991760299230838e-17,6
0.16,100,0.04,32,1e-09,1.529685628382697e-05,9.091209798876284e-126,9.091209798876284e-126,1.8182419597752568e-125,1.529685628382697e-05,0.11087863222323371,2.8791841372673073,2.8791841372673073,2.8722526654617075,0.11087863222323371,0.11087863222323371,-2.7683055050440735,-2.7613740332384737,0.0,0.8415906173066733,1.0000000000000022,1.5025486887942815e-16,9
0.2,100,0.04,32,1e-09,4.413542799815081e-08,5.90282620918775e-107,5.902826209187583e-107,1.1805652418375332e-106,4.413542799815081e-08,0.16936003021044158,2.4460117369563754,2.446011736956376,2.4390802651507766,0.16936003021044158,0.16936003021044158,-2.276651706745934,-2.269720234940335,2.829246879536028e-14,0.7627410928173703,0.9999999999999986,1.5494971996348334e-16,9
0.24,100,0.04,32,1e-09,5.7839928565040615e-11,7.51177057017379e-92,7.511770570173362e-92,1.5023541140347152e-91,5.7839928565040615e-11,0.23573341773123052,2.098213573557893,2.0982135735578935,2.091282101752294,0.23573341773123052,0.23573341773123052,-1.8624801558266626,-1.8555486840210633,5.69559201425574e-14,0.6750341412670037,1.0000000000000286,1.933493530510497e-16,10
0.28,100,0.04,32,1e-09,5.3968447732198785e-14,2.256527236314868e-79,2.2565272363165995e-79,4.513054472631468e-79,5.3968447732198785e-14,0.30550376820372493,1.8109039533615805,1.810903953361573,1.8039724815559774,0.30550376820372493,0.30550376820372493,-1.5054001851578518,-1.4984687133522525,7.673499623554995e-13,0.582206563679827,0.9999999999999971,2.414764181319611e-16,12
0.32,100,0.04,32,1e-09,6.343251198372329e-17,6.95358719423666e-69,6.953587194237253e-69,1.3907174388473913e-68,6.343251198372329e-17,0.3729655513657613,1.5693911374711282,1.5693911374711274,1.5624596656655285,0.3729655513657613,0.3729655513657613,-1.1964255861053665,-1.1894941142997673,8.527952806835967e-14,0.48773370405120425,1.0000000000000138,2.76659253133519e-16,13
0.36,100,0.04,32,1e-09,1.6469118277629148e-19,5.598140127218303e-60,5.598140127221167e-60,1.1196280254439472e-59,1.6469118277629148e-19,0.4325021485218033,1.3643267115720534,1.3643267115720483,1.3573952397664513,0.4325021485218033,0.4325021485218033,-0.9318245630502475,-0.924893091244648,5.116284987282776e-13,0.3946770991764009,0.999999999999966,3.235861402095132e-16,15
0.4,100,0.04,32,1e-09,1.3512483691840937e-21,2.2086396926078396e-52,2.2086396926090637e-52,4.417279385216903e-52,1.3512483691840937e-21,0.48053258069798693,1.1894204803338007,1.189420480333795,1.1824890085281985,0.48053258069798693,0.48053258069798693,-0.7088878996358108,-0.7019564278302115,5.542044878679298e-13,0.30561932191110297,1.0000000000000453,3.7084292160920993e-16,16
