label,n_sites,dt,max_bond,cutoff,individual_crossing,grouped_crossing,maximum_symmetry_relative_error,maximum_norm_error,maximum_cumulative_discarded_weight,trajectory,fit_individual_limit
primary_N20,20,0.02,48,1e-10,0.5920566079988167,0.5778582952299102,3.0554554296879536e-13,1.2212453270876722e-14,5.405501825276959e-18,primary_N20_trajectory.csv,0.6257994955915509
primary_N50,50,0.02,48,1e-10,0.6118678188788439,0.6053064164315858,2.273704299218327e-12,2.842170943040401e-14,1.6957013431607937e-17,primary_N50_trajectory.csv,0.6257994955915509
primary_N75,75,0.02,48,1e-10,0.6167912772012181,0.6123459760259641,5.967268534457993e-13,5.218048215738236e-14,2.6555743003790726e-17,primary_N75_trajectory.csv,0.6257994955915509
primary_N100,100,0.02,48,1e-10,0.6193134605152689,0.6159521931562534,2.984347136965929e-12,6.483702463810914e-14,3.6209532610606014e-17,primary_N100_trajectory.csv,0.6257994955915509
