time,n_sites,dt,max_bond,cutoff,prob_initial,prob_branch1,prob_branch2,prob_competing_group,return_echo,rate_initial,rate_branch1,rate_branch2,rate_competing_group,rate_total,rate_lower_envelope,delta_rate_individual,delta_rate_grouped,branch_symmetry_relative_error,local_ordered_moment,mps_norm,cumulative_discarded_weight,realized_maximum_bond
0.0,50,0.02,32,1e-09,1.0,0.0,0.0,0.0,1.0,-0.0,inf,inf,14.167928370645281,-0.0,-0.0,-inf,-14.167928370645281,0.0,1.0,1.0,0.0,1
0.02,50,0.02,32,1e-09,0.9141276764827511,4.982577730737258e-153,4.982577730737258e-153,9.965155461474516e-153,0.9141276764827511,0.0017957005495525227,7.013791437087116,7.013791437087116,6.999928493475917,0.0017957005495525225,0.0017957005495525227,-7.011995736537564,-6.998132792926365,0.0,0.9973090943058484,0.9999999999999986,9.110883859028109e-45,3
0.04,50,0.02,32,1e-09,0.6985473126226419,5.901234305295547e-123,5.901234305296553e-123,1.18024686105921e-122,0.6985473126226419,0.00717504735945006,5.628856098098975,5.6288560980989715,5.614993154487775,0.00717504735945006,0.00717504735945006,-5.621681050739523,-5.607818107128325,1.705300601283386e-13,0.9892772688057123,1.0000000000000024,2.072351683009536e-19,3
0.06,50,0.02,32,1e-09,0.44677676972538777,2.2037705409574814e-105,2.2037705409574187e-105,4.4075410819149e-105,0.44677676972538777,0.0161139241139215,4.819625299775547,4.819625299775548,4.805762356164348,0.0161139241139215,0.0161139241139215,-4.803511375661626,-4.789648432050427,2.846756858511353e-14,0.9760258776295679,1.0000000000000064,2.326034336269652e-17,4
0.08,50,0.02,32,1e-09,0.239677048543825,6.117098686340721e-93,6.117098686340895e-93,1.2234197372681616e-92,0.239677048543825,0.028569257857640706,4.24658651470377,4.246586514703769,4.232723571092571,0.028569257857640706,0.028569257857640706,-4.218017256846129,-4.2041543132349295,2.839986248059913e-14,0.9577528493699684,1.000000000000003,2.343895379292932e-17,5
0.1,50,0.02,32,1e-09,0.1082049195625548,2.5831845478611443e-83,2.583184547860924e-83,5.1663690957220684e-83,0.1082049195625548,0.044474568925938825,3.803310795196872,3.8033107951968734,3.789447851585674,0.044474568925938825,0.044474568925938825,-3.7588362262709336,-3.744973282659735,8.523784769421074e-14,0.9347264473492568,1.000000000000006,3.971420716331044e-17,5
0.12,50,0.02,32,1e-09,0.041308976534196636,1.7748951762937945e-75,1.7748951762938448e-75,3.5497903525876396e-75,0.041308976534196636,0.06373350906271687,3.4424028121795804,3.44240281217958,3.4285398685683814,0.06373350906271687,0.06373350906271687,-3.378669303116863,-3.3648063595056645,2.8349960432239024e-14,0.9072770201462964,1.0000000000000084,5.56631988353297e-17,7
0.14,50,0.02,32,1e-09,0.013425999902414809,7.017802192961623e-69,7.017802192961623e-69,1.4035604385923246e-68,0.013425999902414809,0.08621124321467903,3.138598426509925,3.138598426509925,3.124735482898726,0.08621124321467903,0.08621124321467903,-3.052387183295246,-3.038524239684047,0.0,0.8757871852687813,0.9999999999999998,8.293273043892058e-17,8
0.16,50,0.02,32,1e-09,0.003749314347437046,3.390911691449346e-63,3.390911691448768e-63,6.781823382898114e-63,0.003749314347437046,0.11172364592801336,2.8768352407571682,2.876835240757172,2.862972297145971,0.11172364592801336,0.11172364592801336,-2.7651115948291567,-2.7512486512179577,1.704802676266685e-13,0.8406809577027272,1.0000000000000149,1.2076455580995804e-16,9
0.18,50,0.02,32,1e-09,0.0009107619597497458,3.251673048990246e-58,3.251673048989877e-58,6.503346097980123e-58,0.0009107619597497458,0.14002457980805125,2.647415314909286,2.647415314909288,2.633552371298088,0.14002457980805125,0.14002457980805125,-2.5073907351012354,-2.493527791490037,1.1357289212951575e-13,0.8024123674480519,0.9999999999999823,1.2104496801307734e-16,9
0.2,50,0.02,32,1e-09,0.00019556758413215964,8.609903067370401e-54,8.609903067369912e-54,1.7219806134740313e-53,0.00019556758413215964,0.17079209078786436,2.4437336392289466,2.443733639228948,2.4298706956177485,0.17079209078786436,0.17079209078786436,-2.2729415484410826,-2.259078604829884,5.681266761012585e-14,0.7614541047478595,1.0000000000000115,1.23696485859222e-16,9
0.22,50,0.02,32,1e-09,3.789224005519965e-05,7.960775942766744e-50,7.960775942766404e-50,1.5921551885533149e-49,3.789224005519965e-05,0.20361528429447034,2.261094563486996,2.261094563486997,2.2472316198757976,0.20361528429447034,0.20361528429447034,-2.0574792791925263,-2.0436163355813273,4.2702034040674486e-14,0.7182866903177458,1.0000000000000129,1.4356492050001457e-16,9
0.24,50,0.02,32,1e-09,6.795519267132173e-06,3.0546063534949954e-46,3.0546063534946916e-46,6.109212706989687e-46,6.795519267132173e-06,0.23798494188553904,2.0960452709319592,2.096045270931961,2.082182327320761,0.23798494188553904,0.23798494188553904,-1.858060329046421,-1.844197385435222,9.944356100191349e-14,0.6733885951377218,1.000000000000004,1.5833243450853532e-16,10
0.26,50,0.02,32,1e-09,1.162870585094673e-06,5.541912409200127e-43,5.541912409199576e-43,1.1083824818399703e-42,1.162870585094673e-06,0.2732923793481645,1.9459763871467206,1.9459763871467226,1.9321134435355227,0.2732923793481645,0.2732923793481645,-1.6726840077985572,-1.6588210641873582,9.946201970583162e-14,0.6272276373568332,0.9999999999999868,1.6420357013363822e-16,11
0.28,50,0.02,32,1e-09,1.9659886447835864e-07,5.258580996473172e-40,5.258580996473023e-40,1.0517161992946196e-39,1.9659886447835864e-07,0.30884200810093554,1.8088708500388195,1.8088708500388202,1.795007906427621,0.30884200810093554,0.30884200810093554,-1.5000288419378844,-1.4861658983266854,2.8385288693961048e-14,0.5802538713971032,1.000000000000015,1.809414878825342e-16,12
0.3,50,0.02,32,1e-09,3.409472991420295e-08,2.8254027683544345e-37,2.8254027683542336e-37,5.650805536708668e-37,3.409472991420295e-08,0.34388246025142594,1.6831399502695001,1.6831399502695015,1.669277006658302,0.34388246025142594,0.34388246025142594,-1.339257490018075,-1.3253945464068762,7.109604867410353e-14,0.5328940661748169,1.0000000000000104,1.9810087752811066e-16,12
0.32,50,0.02,32,1e-09,6.2989005270360836e-09,9.160396922719059e-35,9.160396922718017e-35,1.8320793845437076e-34,6.2989005270360836e-09,0.3776578147659462,1.5675117748973961,1.5675117748973983,1.5536488312861982,0.3776578147659462,0.3776578147659462,-1.189853960131451,-1.175991016520252,1.1367511035131972e-13,0.48554775527325594,1.0000000000000064,2.3595562654854746e-16,13
0.34,50,0.02,32,1e-09,1.2834552335485487e-09,1.8871032993662665e-32,1.8871032993659447e-32,3.774206598732211e-32,1.2834552335485487e-09,0.40947419989290273,1.460953599365579,1.4609535993655822,1.4470906557543817,0.40947419989290273,0.40947419989290273,-1.0514793994726779,-1.0376164558614789,1.7055809352499263e-13,0.43858474086767485,0.9999999999999903,2.593012935926693e-16,14
0.36,50,0.02,32,1e-09,2.966442089837829e-10,2.577281607460671e-30,2.577281607460195e-30,5.1545632149208654e-30,2.966442089837829e-10,0.4387697528958106,1.362616351737527,1.3626163517375307,1.34875340812633,0.4387697528958106,0.4387697528958106,-0.9238465988417184,-0.9099836552305194,1.8472608964275385e-13,0.3923438525919639,1.0000000000000124,2.936944237500109e-16,14
0.38,50,0.02,32,1e-09,7.923713426672188e-11,2.4173720910369924e-28,2.417372091036683e-28,4.834744182073675e-28,7.923713426672188e-11,0.46517152119975785,1.271794031329796,1.2717940313297986,1.2579310877185983,0.46517152119975785,0.46517152119975785,-0.8066225101300395,-0.7927595665188405,1.2799299787986367e-13,0.3471327075216231,1.0000000000000027,2.9940874668288076e-16,15
0.4,50,0.02,32,1e-09,2.464991433305954e-11,1.6040668225402784e-26,1.604066822540016e-26,3.2081336450802944e-26,2.464991433305957e-11,0.48852495381556316,1.1878934049866157,1.187893404986619,1.1740304613754184,0.48852495381556316,0.48852495381556316,-0.6993684511710543,-0.6855055075598553,1.635250677935503e-13,0.3032281906278742,0.9999999999999971,3.325355697715243e-16,15
0.42,50,0.02,32,1e-09,8.904145785227732e-12,7.722037371921153e-25,7.722037371919782e-25,1.5444074743840936e-24,8.904145785229277e-12,0.5088900825817065,1.1104109817470436,1.110410981747047,1.0965480381358466,0.5088900825817031,0.5088900825817065,-0.6015208991653388,-0.58765795555414,1.7755728075398006e-13,0.2608773763309761,0.9999999999999765,3.560721923428418e-16,16
0.44,50,0.02,32,1e-09,3.6898009274567535e-12,2.755771904156491e-23,2.7557719041560604e-23,5.511543808312552e-23,3.689800927511869e-12,0.5265089721706027,1.0389151910501038,1.0389151910501069,1.0250522474389063,0.526508972170304,0.5265089721706027,-0.5124062188795027,-0.49854327526830367,1.5633321427169075e-13,0.2202986384807027,1.0000000000000164,4.09232320035019e-16,18
0.46,50,0.02,32,1e-09,1.721529228188442e-12,7.427992427643761e-22,7.427992427642917e-22,1.4855984855286678e-21,1.7215292296740404e-12,0.5417561626790021,0.9730323284362626,0.9730323284362649,0.9591693848250649,0.541756162661743,0.5417561626790021,-0.4312761657572617,-0.4174132221460628,1.136882071241766e-13,0.18168274336530876,1.0000000000000067,4.53053872510908e-16,19
0.48,50,0.02,32,1e-09,8.840567714371388e-13,1.537162798593208e-20,1.5371627985930767e-20,3.0743255971862845e-20,8.840568021803947e-13,0.5550851022650478,0.9124352696244848,0.9124352696244865,0.8985723260132867,0.5550851015695437,0.5550851022650478,-0.3573501673594379,-0.3434872237482389,8.535464010803688e-14,0.14519378173088404,1.0000000000000164,5.148816075543978e-16,20
0.5,50,0.02,32,1e-09,4.877298318827723e-13,2.477886223872954e-19,2.477886223872672e-19,4.955772447745627e-19,4.87730327460017e-13,0.5669802953110896,0.8568342179846485,0.8568342179846508,0.8429712743734507,0.5669802749893066,0.5669802953110896,-0.28985392267356,-0.27599097906236103,1.1367239207876191e-13,0.11096986390977231,0.9999999999999944,5.699821078240663e-16,22
0.52,50,0.02,32,1e-09,2.8224492424087754e-13,3.152147754951977e-18,3.1521477549515514e-18,6.304295509903529e-18,2.8225122853638744e-13,0.5779200235049177,0.8059689525284961,0.8059689525284988,0.7921060089172985,0.5779195767847422,0.5779200235049177,-0.22804892902357976,-0.21418598541238087,1.3502873304113002e-13,0.07912356950000637,1.0000000000000047,6.31890239640415e-16,23
0.54,50,0.02,32,1e-09,1.6754568010655663e-13,3.2021981638174855e-17,3.2021981638170756e-17,6.40439632763456e-17,1.6760972406983298e-13,0.5883504072754406,0.7596021816145188,0.7596021816145213,0.7457392380033211,0.5883427637807206,0.5883504072754406,-0.17125177433907934,-0.15738883072788046,1.2798642407471864e-13,0.04974220270410051,1.0000000000000124,7.304393831237803e-16,25
0.56,50,0.02,32,1e-09,1.0001478599276766e-13,2.6265633757608616e-16,2.6265633757605066e-16,5.253126751521368e-16,1.005400986679198e-13,0.5986691671985024,0.7175137039485034,0.7175137039485061,0.7036507603373059,0.5985643951053398,0.5986691671985024,-0.1188445367500024,-0.10498159313880351,1.351528048496628e-13,0.022887950777502664,1.0000000000000044,8.280382104145345e-16,27
0.58,50,0.02,32,1e-09,5.902428984667448e-14,1.7577213353666638e-15,1.7577213353664263e-15,3.51544267073309e-15,6.253973251740757e-14,0.6092165468682096,0.6794951624103551,0.6794951624103578,0.6656322187991576,0.608059486397487,0.6092165468682096,-0.07027861554214687,-0.056415671930947986,1.3508804137147753e-13,-0.0014019278473175745,0.9999999999999893,8.877452642252118e-16,28
0.6,50,0.02,32,1e-09,3.396161846075004e-14,9.694062250271005e-15,9.694062250269972e-15,1.9388124500540976e-14,5.3349742961291015e-14,0.6202709075349662,0.6453452567196466,0.6453452567196487,0.6314823131084488,0.6112381447028942,0.6202709075349662,-0.025074349184681433,-0.011211405573482658,1.0660214048147781e-13,-0.0231147491729764,1.0000000000000127,9.716036922239714e-16,29
0.62,50,0.02,32,1e-09,1.8848364152240645e-14,4.450094698317959e-14,4.450094698317279e-14,8.900189396635238e-14,1.0785025811859303e-13,0.6320470053431395,0.6148653185088806,0.6148653185088836,0.6010023748976832,0.5971606525753473,0.6148653185088806,0.01718168683425736,0.031044630445456356,1.5287621742517e-13,-0.042261755235323495,0.9999999999999866,1.0694927692394734e-15,31
0.64,50,0.02,32,1e-09,1.0014135572113963e-14,1.7174559801717346e-13,1.7174559801714968e-13,3.4349119603432314e-13,3.535053316064371e-13,0.6446955748567348,0.5878552418862651,0.5878552418862679,0.5739922982750677,0.5734175565469986,0.5878552418862651,0.0568403329704682,0.07070327658166708,1.3845724956866747e-13,-0.05887706945394927,1.0000000000000018,1.1960262236299702e-15,32
