N,ell,comparator,dtau,cap,tau_c,tau_s,delta_s,delta_q,q_comp,survival_comp
50,9,1,0.02,32,0.61279204290500877,0.51458870926594769,0.048811070428021353,-0.048811070401333166,0.085670406439760718,0.46253471843624988
50,9,1+2,0.02,32,0.5786864896985634,0.43431018450872022,0.12729528070552809,-0.12729528070444762,0.1322629393300111,0.30410980140091354
100,9,1,0.02,32,0.61279204290500777,0.51458870926594535,0.048811070428021575,-0.048811070401332778,0.085670406439761315,0.46253471843624699
100,9,1+2,0.02,32,0.57868648969856118,0.43431018450872066,0.1272952807055282,-0.12729528070444759,0.13226293933001099,0.30410980140091404
