tau,r0,r1,r2
0.61499999999999244,0.59628320593606299,0.61948566680569117,0.61948566680563899
0.61624999999999241,0.59689984827581288,0.61763976999024839,0.61763976999019399
0.61749999999999239,0.59751996689451248,0.6158075170363877,0.61580751703633674
0.61874999999999236,0.598143593427783,0.61398885761712185,0.61398885761706934
0.61999999999999234,0.59877075851506834,0.61218374132123843,0.61218374132118625
0.62124999999999231,0.59940149180023261,0.61039211764996748,0.61039211764991452
0.62249999999999228,0.60003582193215799,0.60861393601365765,0.60861393601360403
0.62374999999999226,0.60067377656535625,0.60684914572850768,0.60684914572845694
0.62499999999999223,0.60131538236056892,0.60509769601332863,0.60509769601327923
0.6262499999999922,0.60196066498538825,0.60335953598632874,0.60335953598627701
0.62749999999999218,0.60260964911487569,0.60163461466195089,0.60163461466189838
0.62874999999999215,0.60326235843220277,0.59992288094773605,0.59992288094768109
0.62999999999999212,0.60391881562927829,0.59822428364122149,0.59822428364116853
0.6312499999999921,0.60457904240740312,0.59653877142690437,0.59653877142684919
0.63249999999999207,0.605243059477927,0.59486629287320703,0.59486629287315551
0.63374999999999204,0.60591088656290026,0.59320679642950391,0.59320679642945084
0.63499999999999202,0.60658254239576237,0.59156023042319061,0.59156023042313999
0.63624999999999199,0.60725804472203282,0.58992654305679015,0.58992654305673775
0.63749999999999196,0.60793741030001469,0.58830568240509884,0.58830568240504866
0.63874999999999194,0.60862065490151507,0.58669759641239094,0.5866975964123412
0.63999999999999191,0.60930779331257523,0.58510223288964514,0.58510223288959395
