time,n_sites,final_field,prob_up,prob_down,return_echo,rate_up,rate_down,rate_total,rate_lower_envelope,delta_rate,magnetization_z
0.0,400,0.7,0.9999999999999996,2.9199035423487045e-30,0.9999999999999996,1.1102230246251568e-18,0.17001500551882257,1.1102230246251568e-18,1.1102230246251568e-18,-0.17001500551882257,0.9999999999999994
0.004,400,0.7,0.996868924616847,2.9649776667563224e-30,0.996868924616847,7.839968639350164e-06,0.16997670822422836,7.839968639350164e-06,7.839968639350164e-06,-0.16996886825558902,0.9999843201241845
0.008,400,0.7,0.9875345462402495,2.8733653932211244e-30,0.9875345462402495,3.135949821084953e-05,0.17005517209035637,3.135949821084953e-05,3.135949821084953e-05,-0.17002381259214552,0.9999372819869017
0.012,400,0.7,0.9721715641074093,2.781216749885339e-30,0.9721715641074093,7.055745953439079e-05,0.17013666069514458,7.055745953439079e-05,7.055745953439079e-05,-0.1700661032356102,0.9998588900582186
0.016,400,0.7,0.9510650776033511,2.7087513845026738e-30,0.9510650776033511,0.00012543197017493872,0.1702026625120768,0.00012543197017493872,0.00012543197017493872,-0.17007723054190185,0.9997491517868359
0.02,400,0.7,0.9246017659247086,2.508469709778412e-30,0.9246017659247086,0.000195980393740314,0.17039469974996407,0.000195980393740314,0.000195980393740314,-0.17019871935622377,0.9996080775979778
0.024,400,0.7,0.8932580808399346,2.391493386216256e-30,0.8932580808399346,0.0002821993388982437,0.17051408692806205,0.0002821993388982437,0.0002821993388982437,-0.1702318875891638,0.9994356808904334
0.028,400,0.7,0.8575859572755645,2.1946208899197874e-30,0.8575859572755645,0.0003840846581128317,0.17072885868377438,0.0003840846581128317,0.0003840846581128317,-0.17034477402566156,0.9992319780327613
0.032,400,0.7,0.8181966413340033,2.0121954448671886e-30,0.8181966413340033,0.0005016314461006535,0.17094581600676403,0.0005016314461006535,0.0005016314461006535,-0.17044418456066338,0.9989969883586457
0.036000000000000004,400,0.7,0.7757432978987965,1.712446869361239e-30,0.7757432978987965,0.0006348340380066779,0.17134907381084732,0.0006348340380066779,0.0006348340380066779,-0.17071423977284064,0.9987307341614294
0.04,400,0.7,0.7309030877488574,1.5179926975181234e-30,0.7309030877488574,0.0007836860073003779,0.17165040980363408,0.0007836860073003779,0.0007836860073003779,-0.1708667237963337,0.9984332406877913
0.044,400,0.7,0.6843593968524251,1.4218314047368332e-30,0.6843593968524251,0.0009481801633922987,0.17181401756884773,0.0009481801633922987,0.0009481801633922987,-0.17086583740545544,0.9981045361306121
0.048,400,0.7,0.6367848601729661,1.2312374608500146e-30,0.6367848601729661,0.0011283085489715017,0.1721738326511257,0.0011283085489715017,0.0011283085489715017,-0.1710455241021542,0.997744651621
0.052000000000000005,400,0.7,0.5888257527567009,9.98605732930638e-31,0.5888257527567009,0.0013240624370643363,0.1726973700744637,0.0013240624370643363,0.0013240624370643363,-0.17137330763739936,0.9973536212194958
0.056,400,0.7,0.5410882275276145,8.355033951535951e-31,0.5410882275276145,0.0015354323278150065,0.17314318414289354,0.0015354323278150065,0.0015354323278150065,-0.17160775181507854,0.9969314819064593
0.06,400,0.7,0.49412676865931043,6.01970802736704e-31,0.49412676865931043,0.0017624079449885027,0.1739627478127706,0.0017624079449885027,0.0017624079449885027,-0.1722003398677821,0.9964782735716401
0.064,400,0.7,0.4484351088100437,5.954484726172111e-31,0.4484351088100437,0.002004978232196497,0.17398998302920676,0.002004978232196497,0.002004978232196497,-0.17198500479701026,0.9959940390029425
0.068,400,0.7,0.4044397351809364,3.771039769427281e-31,0.4044397351809364,0.002263131348846896,0.1751319677961812,0.002263131348846896,0.002263131348846896,-0.1728688364473343,0.9954788238743768
0.07200000000000001,400,0.7,0.3624959901777905,2.430050677728977e-31,0.3624959901777905,0.0025368546658177406,0.1762305644266198,0.0025368546658177406,0.0025368546658177406,-0.17369370976080206,0.9949326767332273
