n_sites,block_length,physical_crossing,support_crossing,critical_time_shift,delta_support_rate_at_physical,delta_sign_cost_at_physical,sign_cost_initial_at_physical,sign_cost_competing_at_physical,surviving_fraction_initial_at_physical,surviving_fraction_competing_at_physical
50,4,0.5330866440018326,0.37758231389436525,0.15550433010746734,0.1817473073234877,-0.18174730732340277,-1.1102230246251565e-16,0.18174730732340266,1.0000000000000002,0.4833620939443031
50,5,0.5480455715299687,0.39471604389079695,0.15332952763917174,0.16428011662874464,-0.16428011662841327,0.00026704281159615204,0.16454715944000942,0.9986656769437062,0.43922836954111594
50,6,0.5589887702661951,0.4077450509979081,0.151243719268287,0.14999136727830725,-0.149991367277871,0.0009028054810518901,0.1508941727589229,0.994597811698593,0.404394239477184
50,7,0.5670562792245686,0.41819621100609894,0.14886006821846964,0.14117283994124052,-0.14117284059444193,0.0017420129633883366,0.14291485355783026,0.9878799558980621,0.36773085712334674
50,8,0.573518128615062,0.4268878619748168,0.1466302666402452,0.13373196650269403,-0.13373196650346386,0.003032099212276096,0.13676406571573996,0.9760350379268432,0.33483663402588537
50,9,0.5786864896979608,0.43431018450335074,0.14437630519461003,0.12729528070528406,-0.1272952807056422,0.004967658625285192,0.1322629393309274,0.9562757867896539,0.3041098013984057
50,10,0.5829693189269124,0.4407616247891617,0.1422076941377507,0.12142078572874349,-0.12142078572881589,0.007294291970042099,0.12871507769885798,0.9296538934340829,0.27605620933522423
50,11,0.5865460851916254,0.44639686150080016,0.14014922369082528,0.11600018697301451,-0.11600018697301637,0.009875325108062409,0.12587551208107878,0.8970635463897945,0.25041627824792057
50,12,0.58959361363444,0.4513434653228378,0.13825014831160215,0.11119460596362063,-0.11119460590109317,0.012327393442560139,0.12352199934365331,0.8624925900924191,0.2271229014069384
50,13,0.5922158086318174,0.45566561107740616,0.13655019755441128,0.1068975976607176,-0.10689759812555115,0.014649548148902078,0.12154714627445323,0.8265919414900734,0.20595184460605795
50,14,0.5944987072514618,0.4594187061468382,0.1350800011046236,0.10308466455589305,-0.10308466455572077,0.016782773731514107,0.11986743828723487,0.7906033963287228,0.186720181944277
50,15,0.5965033768849359,0.4627226055122586,0.13378077137267735,0.09967131338654678,-0.0996713133847018,0.01874817338366744,0.11841948676836923,0.7548602843075288,0.1692645672405288
50,16,0.5982782233751094,0.46561905294406836,0.13265917043104103,0.09660708721275224,-0.09660708720629563,0.02055143169735396,0.11715851890364959,0.7197704716597221,0.1534260936554368
100,4,0.5330866441214664,0.3775823139047864,0.15550433021668003,0.1817473074084841,-0.18174730740839995,-3.3306690738754696e-16,0.18174730740839962,1.0000000000000013,0.4833620937799658
100,5,0.5480455715299678,0.39471604389079706,0.15332952763917074,0.16428011662874542,-0.1642801166284138,0.0002670428115963297,0.16454715944001014,0.9986656769437053,0.4392283695411143
100,6,0.5589887702470947,0.40774505107617065,0.15124371917092405,0.1499913672702971,-0.1499913672698594,0.0009028054641047056,0.1508941727339641,0.9945978117997267,0.40439423953774317
100,7,0.5670562792245678,0.41819621100609944,0.14886006821846837,0.1411728399412392,-0.1411728405944397,0.0017420129633883366,0.14291485355782804,0.9878799558980621,0.36773085712335263
100,8,0.5735181286030304,0.4268878618910658,0.1466302667119646,0.1337319662890487,-0.13373196628981787,0.003032099230720009,0.13676406552053788,0.9760350377828276,0.33483663454877144
100,9,0.5786864896979586,0.43431018450335074,0.1443763051946078,0.12729528070528395,-0.12729528070564192,0.004967658625285291,0.1322629393309272,0.9562757867896534,0.3041098013984061
100,10,0.5829693189394394,0.44076162483922565,0.14220769410021372,0.12142078587527838,-0.1214207858753511,0.007294291972747757,0.12871507784809885,0.9296538934089289,0.27605620892323524
100,11,0.5865460851916234,0.4463968615007997,0.14014922369082372,0.11600018697301484,-0.116000186973017,0.009875325108061439,0.12587551208107844,0.8970635463898043,0.25041627824792145
100,12,0.5895936135966265,0.4513434653109064,0.13825014828572013,0.11119460586539043,-0.11119460580286337,0.012327393420210164,0.12352199922307354,0.8624925903237399,0.22712290173557567
100,13,0.5922158086318153,0.45566561107740605,0.13655019755440928,0.1068975976607186,-0.10689759812555143,0.014649548148901804,0.12154714627445323,0.8265919414900761,0.2059518446060579
100,14,0.5944987073268204,0.45941870618381164,0.13508000114300878,0.10308466463184196,-0.10308466463166852,0.01678277376036303,0.11986743839203154,0.7906033960094099,0.18672018167033008
100,15,0.5965033768849336,0.4627226055122582,0.1337807713726754,0.09967131338654733,-0.09967131338470298,0.01874817338366602,0.118419486768369,0.7548602843075429,0.16926456724052938
100,16,0.5982782232966507,0.46561905291177064,0.13265917038488007,0.09660708714559396,-0.09660708713913724,0.02055143168063811,0.11715851881977535,0.7197704718522266,0.15342609386133277
